term,chapter_file,similarity,category,decision,action,rationale,status
simple c string literal,lexical-elements.rst,0.258,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
ffi,ffi.rst,0.273,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate; prioritized high-risk term spot-checked,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
primitive representation,types-and-traits.rst,0.295,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate; prioritized high-risk term spot-checked,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
char,types-and-traits.rst,0.32,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate; prioritized high-risk term spot-checked,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
unnamed lifetime,types-and-traits.rst,0.338,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
syntactic category,general.rst,0.339,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
binding mode,patterns.rst,0.352,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
recursive type,types-and-traits.rst,0.355,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
async closure type,expressions.rst,0.375,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
implementation conformance,implementations.rst,0.4,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
async control flow boundary,expressions.rst,0.403,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
control flow boundary,expressions.rst,0.417,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
subtype,types-and-traits.rst,0.418,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
call conformance,expressions.rst,0.426,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate; prioritized high-risk term spot-checked,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
borrowed,ownership-and-deconstruction.rst,0.434,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate; prioritized high-risk term spot-checked,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
statement,statements.rst,0.451,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
main function signature,program-structure-and-compilation.rst,0.457,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
c,ffi.rst,0.476,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
unifiable,types-and-traits.rst,0.476,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
adjusted call operand,expressions.rst,0.477,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
subtyping,types-and-traits.rst,0.478,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
exported function,attributes.rst,0.483,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
exported static,attributes.rst,0.483,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
alignment,types-and-traits.rst,0.489,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
simple import,entities-and-resolution.rst,0.497,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
construct,entities-and-resolution.rst,0.5,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate; prioritized high-risk term spot-checked,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
concrete type,types-and-traits.rst,0.511,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate; prioritized high-risk term spot-checked,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
union type,types-and-traits.rst,0.519,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
