checklist_id,term,wave,source_set,baseline_file,baseline_line,baseline_dp_id,baseline_section,baseline_commit,first_use_file,first_use_line,recommended_file,recommended_section,placement_priority,placement_fitness_rating,divergence_match_category,divergence_reliability,divergence_similarity,before_evidence_ref,action_type,decision_detail,reason_code,reason_why,reason_quality,semantic_change_flag,review_attention,after_file,after_line,after_dp_id,after_section,after_commit,after_evidence_ref,phase1_status,final_quality,batch_id,quarantine_status,quarantine_reason,notes,rationale_uuid,rationale_inserted_at_utc,rationale_text_sha256,recommendation_priority,recommendation_used,deviation_permit_path,deviation_permit_sha256,deviation_approved_by,deviation_status
WA-001,value,WA,v2-foundational,expressions.rst,2214,fls_buyaqara7am4,Type Cast Expressions,19e75856eac5694e5d613c7c59b429848d333992,lexical-elements.rst,34,lexical-elements.rst,Character Set,high,poor,exact_match,high,,inputs/fls-pr6-placement-fitness-v2.json:term=value,move,Relocated value definition to Values opening rule.,relocate-conceptual-owner,"Before expressions.rst:2214 (fls_buyaqara7am4) defined value inside Type Cast Expressions, which weakens conceptual ownership and makes core terminology depend on an operator-specific subsection. After values.rst:17 (fls_CEBZEvtmIRGv), the definition sits in Values where readers first establish value semantics, improving discoverability without changing Rust 2021 meaning.",pass,none,none,values.rst,17,fls_CEBZEvtmIRGv,Values,d74a460c5d92075c260e8cd8b4c6f69b9530f53c,,completed,resolved-high,batch-001,,,,0db0fd3c-d914-40da-af8b-84c8f847c2aa,2026-02-12T01:33:23Z,3e9b4d057540138f623bd398fe7d3644f6d155987d379ad1f4c02475c21aa7e5,high,yes,,,,
WA-002,expression,WA,v2-foundational,types-and-traits.rst,2522,fls_h5o6tgul4yor,Type Inference,19e75856eac5694e5d613c7c59b429848d333992,macros.rst,648,macros.rst,Macro Expansion,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=expression,move,Moved expression definition to Expressions preface.,relocate-first-use-owner,"Before types-and-traits.rst:2522 (fls_htLp5J5ObgNh) used expression in a type-inference bullet tied to constant initializers, which is too narrow for the global term. After expressions.rst:78 (fls_h5o6tgul4yor), expression is defined at the chapter entry point where first-use and ownership are explicit, improving reader orientation while preserving semantics.",pass,none,none,expressions.rst,78,fls_h5o6tgul4yor,Expressions,d74a460c5d92075c260e8cd8b4c6f69b9530f53c,,completed,resolved-high,batch-001,,,,b79b5974-f73d-4725-8911-57fcc47f4f65,2026-02-12T01:33:23Z,20308beb8fecb87db13a1dc594d69e37c33afbba0880b7b5e0a85e645e48b1bf,high,yes,,,,
WA-003,type,WA,v2-foundational,types-and-traits.rst,2240,fls_4rhjpdu4zfqj,Type Coercion,19e75856eac5694e5d613c7c59b429848d333992,lexical-elements.rst,614,,,none,acceptable,exact_match,high,,inputs/fls-pr6-placement-fitness-v2.json:term=type,retain,Retained type definition in Type Coercion context.,no-change-not-mislocated,"Before types-and-traits.rst:2240 (fls_4rhjpdu4zfqj) already states the canonical type definition in the same chapter that owns the Rust type model, and placement fitness was acceptable with no relocation priority. After review, the anchor remains types-and-traits.rst:2240 (fls_4rhjpdu4zfqj), so ordering and discoverability remain stable with no semantic change.",pass,none,none,types-and-traits.rst,2240,fls_4rhjpdu4zfqj,Type Coercion,d74a460c5d92075c260e8cd8b4c6f69b9530f53c,,completed,resolved-high,batch-001,,,,30946b6d-4f96-4256-bbef-b4b59e2a6767,2026-02-12T01:33:48Z,f73a022286fd11c0e204bf079ffc3eb60b8e54b79bbe8e666aa490056d52c165,none,no,,,,
WA-004,trait,WA,v2-foundational,entities-and-resolution.rst,1758,fls_tani6lesan9u,Path Expression Resolution,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,222,expressions.rst,Constant Expressions,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=trait,move,Relocated trait definition to Traits section.,relocate-conceptual-owner,"Before entities-and-resolution.rst:1758 (fls_qbmp0blpoxx9) introduced trait inside path-expression resolution branching logic, so the term definition appeared as an algorithm side note rather than a primary concept. After types-and-traits.rst:2982 (fls_tani6lesan9u), trait is defined in Traits where ownership is explicit and references are easier to follow, with unchanged Rust 2021 semantics.",pass,none,none,types-and-traits.rst,2982,fls_tani6lesan9u,Traits,d74a460c5d92075c260e8cd8b4c6f69b9530f53c,,completed,resolved-high,batch-001,,,,63ded19c-ae78-4110-ab91-18c0d3b22cd1,2026-02-12T01:33:48Z,45076c907fec92124bc98dbd21863e0a06d85662ef820efb140f36d87ed3d3a2,high,yes,,,,
WA-005,construct,WA,v2-foundational,entities-and-resolution.rst,527,fls_3nqb7p5ifvio,Generic Parameter Scope,19e75856eac5694e5d613c7c59b429848d333992,general.rst,158,lexical-elements.rst,Comments,low_forward_ref,acceptable_at_home,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=construct,retain,Retained construct in Generic Parameter Scope definition.,retain-conceptual-owner,"Before entities-and-resolution.rst:527 (fls_3nqb7p5ifvio) defines construct directly in the governing rule for where clauses and generic parameter scope, which is the conceptual owner for this local term usage. After manual review the anchor remains entities-and-resolution.rst:527 (fls_3nqb7p5ifvio), avoiding a low-value relocation and preserving semantic intent and discoverability in-context.",pass,none,none,entities-and-resolution.rst,527,fls_3nqb7p5ifvio,Generic Parameter Scope,d74a460c5d92075c260e8cd8b4c6f69b9530f53c,,completed,resolved-high,batch-001,,,,c31c8865-7dc6-45ea-8dac-34f0a8ef45e5,2026-02-12T01:33:48Z,807e006513fe99662457356902440227ff81761e0a4c994ae0515c800996bd55,low_forward_ref,no,,,,
WA-006,entity,WA,v2-foundational,entities-and-resolution.rst,1537,fls_p23q1ob2qitz,Path Resolution,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,665,expressions.rst,Path Expressions,low_forward_ref,acceptable_at_home,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=entity,retain,Retained entity term in Path Resolution rules.,retain-conceptual-owner,"Before entities-and-resolution.rst:1537 (fls_p23q1ob2qitz) defines entity at the exact point where path segments resolve to one semantic target, which is the owning context for the term in this chapter. After review the anchor remains entities-and-resolution.rst:1537 (fls_p23q1ob2qitz), because relocation would separate the definition from the resolution algorithm and reduce local discoverability without semantic benefit.",pass,none,none,entities-and-resolution.rst,1537,fls_p23q1ob2qitz,Path Resolution,d74a460c5d92075c260e8cd8b4c6f69b9530f53c,,completed,resolved-high,batch-001,,,,ec67c60b-10e4-48ec-ab89-a8c07708f643,2026-02-12T01:34:21Z,33e0cad34a8d1caae85c1373b11ea43e65e7c9349d93f429a186a71307e6233b,low_forward_ref,no,,,,
WA-007,name,WA,v2-foundational,entities-and-resolution.rst,151,fls_7kpepal8ghuj,Visibility,19e75856eac5694e5d613c7c59b429848d333992,lexical-elements.rst,488,lexical-elements.rst,Identifiers,low_forward_ref,acceptable_at_home,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=name,retain,Retained name term in Visibility rules.,retain-conceptual-owner,"Before entities-and-resolution.rst:151 (fls_7kpepal8ghuj) defines name in the visibility rule that governs how modules can refer to fields and items, which is a conceptual owner context despite forward references elsewhere. After review, the same anchor remains the most coherent location, keeping term ordering tied to visibility semantics and avoiding a non-semantic relocation.",pass,none,none,entities-and-resolution.rst,151,fls_7kpepal8ghuj,Visibility,d74a460c5d92075c260e8cd8b4c6f69b9530f53c,,completed,resolved-high,batch-001,,,,bcaf6ffe-bf74-40b8-8024-f60803aaf552,2026-02-12T01:34:21Z,470d7cdb47084305f070ceaa1342ac14ada0f7844e9bcb323bfa5bc7afb897d0,low_forward_ref,no,,,,
WA-008,item,WA,v2-foundational,macros.rst,498,fls_knjsslplv5ri,Attribute Macros,19e75856eac5694e5d613c7c59b429848d333992,macros.rst,497,macros.rst,Macro Expansion,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=item,move,Relocated item definition to Items chapter.,relocate-conceptual-owner,"Before macros.rst:498 (fls_knjsslplv5ri) defined item within attribute macro parameter mechanics, so the term appeared in a macro-specific execution detail. After items.rst:48 (fls_s3b1cba9lfj5), item is defined in the dedicated Items chapter where ownership and indexing by readers are clearer, while preserving the same Rust 2021 meaning and downstream references.",pass,none,none,items.rst,48,fls_s3b1cba9lfj5,Items,d74a460c5d92075c260e8cd8b4c6f69b9530f53c,,completed,resolved-high,batch-001,,,,ce21bd44-8524-41bc-90c0-98832517a479,2026-02-12T01:34:22Z,fc186583e249994093f8f4d3865f07975eca5a4f88953add452ae5cb36ea309d,high,yes,,,,
WA-009,field,WA,v2-foundational,patterns.rst,844,fls_mnh35ehva8tx,Record Struct Patterns,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,1039,expressions.rst,Borrow Expression,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=field,move,Moved field definition into Enum Types section.,relocate-conceptual-owner,"Before patterns.rst:844 (fls_mnh35ehva8tx) treated field as part of indexed deconstructor matching, which couples a foundational data-model term to pattern-matching mechanics. After types-and-traits.rst:779 (fls_1PqJYZ5eMNym), field is defined under Enum Types where abstract data type structure is owned, improving conceptual ordering and preserving behavior.",pass,none,none,types-and-traits.rst,779,fls_1PqJYZ5eMNym,Enum Types,d74a460c5d92075c260e8cd8b4c6f69b9530f53c,,completed,resolved-high,batch-001,,,,060d77e9-03df-44f3-b889-12e06a370860,2026-02-12T01:34:22Z,33276c8e846158145aadbad5042d924e630f1b9b021c71f77e41414f388b354c,high,yes,,,,
WA-010,reference,WA,v2-foundational,expressions.rst,1019,fls_ya77l2zgtilp,Borrow Expression,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,1006,ownership-and-deconstruction.rst,References,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=reference,move,Relocated reference definition to References section.,relocate-conceptual-owner,"Before expressions.rst:1019 (fls_ya77l2zgtilp) defined reference inside borrow-expression operational wording, so the core notion appeared as a local side effect of one operator. After ownership-and-deconstruction.rst:97 (fls_7x9pi2o7pee7), reference is defined in References, the conceptual ownership section for borrowing and lifetimes, with no semantic drift.",pass,none,none,ownership-and-deconstruction.rst,97,fls_7x9pi2o7pee7,References,d74a460c5d92075c260e8cd8b4c6f69b9530f53c,,completed,resolved-high,batch-001,,,,da779a55-3be2-41d1-9dc3-d794d0441fa6,2026-02-12T01:34:22Z,e77dbc4543235f72edd508a7ee1ca5c19fdf1c4fe6c8c498c2d807343321f916,high,yes,,,,
