checklist_id,term,baseline_rating,baseline_file,baseline_line,baseline_dp_id,baseline_section,baseline_commit,first_use_file,first_use_line,recommended_file,recommended_section,relocation_priority,conceptual_home,decision,reason_code,reason_why,reason_quality,before_evidence_ref,after_file,after_line,after_dp_id,after_section,after_commit,after_evidence_ref,phase1_status,phase2_status,final_quality,notes
PQ-001,[unifiable type]s,poor,types-and-traits.rst,2058,fls_aie0tr62vhw5,Type Unification,1c2c2b73313fb48987ed02ac044ff68cec69968e,patterns.rst,88,patterns.rst,Patterns,low_forward_ref,true,retain baseline anchor,retain-conceptual-owner,Manual review found baseline types-and-traits.rst:2058 fls_aie0tr62vhw5 is the canonical owner for type unification terminology and already discoverable from first use links so relocation would duplicate definitions without Rust 2021 semantic benefit,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=[unifiable type]s,types-and-traits.rst,2058,fls_aie0tr62vhw5,Type Unification,c5db56a72b8ff40d476d53d6a473376567267b0f,batch-001-manual-review,completed,pending,resolved-high,batch1 no relocation
PQ-002,alignment,poor,types-and-traits.rst,1688,fls_muxfn9soi47l,Type Layout,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,1661,types-and-traits.rst,Type Layout,high,false,retain baseline anchor,no-change-not-mislocated,Manual review found no true mislocation because types-and-traits.rst:1688 fls_muxfn9soi47l sits in the normative Type Layout section and keeps alignment definition discoverable with related size and layout terms while preserving Rust 2021 meaning,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=alignment,types-and-traits.rst,1688,fls_muxfn9soi47l,Type Layout,c5db56a72b8ff40d476d53d6a473376567267b0f,batch-001-manual-review,completed,pending,resolved-high,batch1 no relocation
PQ-003,arity,poor,types-and-traits.rst,708,fls_ivWBnhfOZUrW,Tuple Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,patterns.rst,1059,patterns.rst,Tuple Struct Patterns,high,false,retain baseline anchor,no-change-not-mislocated,Manual review found no true mislocation because types-and-traits.rst:708 fls_ivWBnhfOZUrW defines arity at tuple type ownership where tuple cardinality is introduced and relocating to patterns would fragment one concept across chapters with no Rust 2021 semantic gain,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=arity,types-and-traits.rst,708,fls_ivWBnhfOZUrW,Tuple Types,c5db56a72b8ff40d476d53d6a473376567267b0f,batch-001-manual-review,completed,pending,resolved-high,batch1 no relocation
PQ-004,associated trait constant,poor,associated-items.rst,115,fls_x564isbhobym,Associated Items,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,3692,implementations.rst,Implementation Conformance,low_forward_ref,true,retain baseline anchor,retain-conceptual-owner,Manual review found associated-items.rst:115 fls_x564isbhobym remains the conceptual owner because associated trait constants are introduced in Associated Items and first use references already resolve discoverability so relocation to conformance text would blur ownership without Rust 2021 change,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=associated trait constant,associated-items.rst,115,fls_x564isbhobym,Associated Items,c5db56a72b8ff40d476d53d6a473376567267b0f,batch-001-manual-review,completed,pending,resolved-high,batch1 no relocation
PQ-005,attribute content,poor,attributes.rst,59,fls_9TMRVlQwAdTB,Attributes,1c2c2b73313fb48987ed02ac044ff68cec69968e,macros.rst,862,macros.rst,Token Matching,low_forward_ref,true,retain baseline anchor,retain-conceptual-owner,Manual review found attributes.rst:59 fls_9TMRVlQwAdTB is the conceptual owner for attribute content semantics and moving this term to token matching would weaken chapter ownership while providing no discoverability or Rust 2021 semantic improvement,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=attribute content,attributes.rst,59,fls_9TMRVlQwAdTB,Attributes,c5db56a72b8ff40d476d53d6a473376567267b0f,batch-001-manual-review,completed,pending,resolved-high,batch1 no relocation
PQ-006,borrowed,poor,ownership-and-deconstruction.rst,168,fls_yL6cMahJUIqO,Borrowing,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,1008,expressions.rst,Borrow Expression,low_forward_ref,true,retain baseline anchor,retain-conceptual-owner,Manual review found ownership-and-deconstruction.rst:168 fls_yL6cMahJUIqO is the canonical ownership chapter for borrowed state and already supports first use discoverability from expression links so relocation would duplicate terminology without Rust 2021 semantic effect,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=borrowed,ownership-and-deconstruction.rst,168,fls_yL6cMahJUIqO,Borrowing,c5db56a72b8ff40d476d53d6a473376567267b0f,batch-001-manual-review,completed,pending,resolved-high,batch1 no relocation
PQ-007,c,poor,ffi.rst,65,fls_EcG0AVDg8TUj,ABI,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,1225,types-and-traits.rst,Function Pointer Types,high,false,retain baseline anchor,no-change-not-mislocated,Manual review found no true mislocation because ffi.rst:65 fls_EcG0AVDg8TUj defines c in ABI context where calling convention ownership belongs and relocating to function pointer types would split ABI terminology from its normative chapter with no Rust 2021 semantic gain,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=c,ffi.rst,65,fls_EcG0AVDg8TUj,ABI,c5db56a72b8ff40d476d53d6a473376567267b0f,batch-001-manual-review,completed,pending,resolved-high,batch1 no relocation
PQ-008,code point,poor,lexical-elements.rst,34,fls_4h2v3pk7qz6n,Character Set,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,2219,expressions.rst,Type Cast Expressions,high,false,retain baseline anchor,no-change-not-mislocated,Manual review found no true mislocation because lexical-elements.rst:34 fls_4h2v3pk7qz6n is the normative character set owner and relocating code point to cast expressions would reduce lexical discoverability and weaken terminology grouping without Rust 2021 semantic benefit,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=code point,lexical-elements.rst,34,fls_4h2v3pk7qz6n,Character Set,c5db56a72b8ff40d476d53d6a473376567267b0f,batch-001-manual-review,completed,pending,resolved-high,batch1 no relocation
PQ-009,constant function,poor,functions.rst,173,fls_2049qu3ji5x7,Functions,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,200,expressions.rst,Constant Expressions,low_forward_ref,true,retain baseline anchor,retain-conceptual-owner,Manual review found functions.rst:173 fls_2049qu3ji5x7 is still the conceptual owner because constant function is a function kind and first use in constant expressions is already link discoverable so relocation would blur chapter ownership with no Rust 2021 meaning change,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=constant function,functions.rst,173,fls_2049qu3ji5x7,Functions,c5db56a72b8ff40d476d53d6a473376567267b0f,batch-001-manual-review,completed,pending,resolved-high,batch1 no relocation
PQ-010,construct,poor,entities-and-resolution.rst,26,fls_t1kEzrZaE1Af,Entities,1c2c2b73313fb48987ed02ac044ff68cec69968e,general.rst,158,generics.rst,Where Clauses,low_forward_ref,true,retain baseline anchor,retain-conceptual-owner,Manual review found entities-and-resolution.rst:26 fls_t1kEzrZaE1Af remains the conceptual owner for construct as a cross chapter entity notion and relocation to where clauses would narrow discoverability while adding no Rust 2021 semantic clarity,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=construct,entities-and-resolution.rst,26,fls_t1kEzrZaE1Af,Entities,c5db56a72b8ff40d476d53d6a473376567267b0f,batch-001-manual-review,completed,pending,resolved-high,batch1 no relocation
