checklist_id,term,baseline_rating,baseline_file,baseline_line,baseline_dp_id,baseline_section,baseline_commit,first_use_file,first_use_line,recommended_file,recommended_section,relocation_priority,conceptual_home
PQ-001,[unifiable type]s,poor,types-and-traits.rst,2058,fls_aie0tr62vhw5,Type Unification,1c2c2b73313fb48987ed02ac044ff68cec69968e,patterns.rst,88,patterns.rst,Patterns,low_forward_ref,true
PQ-002,alignment,poor,types-and-traits.rst,1688,fls_muxfn9soi47l,Type Layout,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,1661,types-and-traits.rst,Type Layout,high,false
PQ-003,arity,poor,types-and-traits.rst,708,fls_ivWBnhfOZUrW,Tuple Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,patterns.rst,1059,patterns.rst,Tuple Struct Patterns,high,false
PQ-004,associated trait constant,poor,associated-items.rst,115,fls_x564isbhobym,Associated Items,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,3692,implementations.rst,Implementation Conformance,low_forward_ref,true
PQ-005,attribute content,poor,attributes.rst,59,fls_9TMRVlQwAdTB,Attributes,1c2c2b73313fb48987ed02ac044ff68cec69968e,macros.rst,862,macros.rst,Token Matching,low_forward_ref,true
PQ-006,borrowed,poor,ownership-and-deconstruction.rst,168,fls_yL6cMahJUIqO,Borrowing,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,1008,expressions.rst,Borrow Expression,low_forward_ref,true
PQ-007,c,poor,ffi.rst,65,fls_EcG0AVDg8TUj,ABI,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,1225,types-and-traits.rst,Function Pointer Types,high,false
PQ-008,code point,poor,lexical-elements.rst,34,fls_4h2v3pk7qz6n,Character Set,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,2219,expressions.rst,Type Cast Expressions,high,false
PQ-009,constant function,poor,functions.rst,173,fls_2049qu3ji5x7,Functions,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,200,expressions.rst,Constant Expressions,low_forward_ref,true
PQ-010,construct,poor,entities-and-resolution.rst,26,fls_t1kEzrZaE1Af,Entities,1c2c2b73313fb48987ed02ac044ff68cec69968e,general.rst,158,generics.rst,Where Clauses,low_forward_ref,true
PQ-011,container operand,poor,expressions.rst,3718,fls_s2vpn4ihenpe,Field Access Expressions,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,454,entities-and-resolution.rst,Field Resolution,low_forward_ref,true
PQ-012,dangling,poor,values.rst,62,fls_649WudgnmRKE,Values,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,1183,expressions.rst,Dereference Expression,low_forward_ref,true
PQ-013,enum variant value,poor,types-and-traits.rst,774,fls_KTzAGty3T5fF,Enum Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,patterns.rst,821,patterns.rst,Record Struct Patterns,low_forward_ref,true
PQ-014,expression,poor,expressions.rst,78,fls_h5o6tgul4yor,Expressions,1c2c2b73313fb48987ed02ac044ff68cec69968e,macros.rst,648,types-and-traits.rst,Type Inference,low_forward_ref,true
PQ-015,expression-without-block,poor,expressions.rst,86,fls_p15oeage4j0e,Expressions,1c2c2b73313fb48987ed02ac044ff68cec69968e,macros.rst,647,macros.rst,Macro Expansion,low_forward_ref,true
PQ-016,field,poor,types-and-traits.rst,733,fls_74bRiJktNHvk,Abstract Data Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,1026,patterns.rst,Record Struct Patterns,high,false
PQ-017,field index,poor,types-and-traits.rst,977,fls_3QSa0wGQtbHh,Struct Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,3263,expressions.rst,Struct Expressions,high,false
PQ-018,function,poor,functions.rst,52,fls_gn1ngtx2tp2s,Functions,1c2c2b73313fb48987ed02ac044ff68cec69968e,macros.rst,312,macros.rst,Procedural Macros,low_forward_ref,true
PQ-019,function body,poor,functions.rst,153,fls_927nfm5mkbsp,Functions,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,2585,types-and-traits.rst,Type Inference,low_forward_ref,true
